kasrat_id	kasrat_name	fedb_id	fedb_name	score	name_score	status
bench_press	Bench Press	Barbell_Bench_Press_-_Medium_Grip	Barbell Bench Press - Medium Grip	1.00	1.00	match
incline_db_press	Incline DB Press	Incline_Dumbbell_Press	Incline Dumbbell Press	1.00	1.00	match
cable_fly	Cable Fly	Flat_Bench_Cable_Flyes	Flat Bench Cable Flyes	1.00	1.00	match
pushup	Push-Up	Pushups	Pushups	1.00	1.00	match
dips	Dips	Dips_-_Chest_Version	Dips - Chest Version	1.00	1.00	match
pullup	Pull-Up	Pullups	Pullups	1.00	1.00	match
lat_pulldown	Lat Pulldown	Wide-Grip_Lat_Pulldown	Wide-Grip Lat Pulldown	1.00	1.00	match
barbell_row	Barbell Row	Bent_Over_Barbell_Row	Bent Over Barbell Row	0.92	0.88	match
cable_row	Cable Row	Upright_Cable_Row	Upright Cable Row	0.94	0.92	match
deadlift	Deadlift	Barbell_Deadlift	Barbell Deadlift	1.00	1.00	match
ohp	Overhead Press	Barbell_Shoulder_Press	Barbell Shoulder Press	1.00	1.00	match
db_lateral_raise	DB Lateral Raise	Side_Lateral_Raise	Side Lateral Raise	1.00	1.00	match
face_pull	Face Pull	Face_Pull	Face Pull	1.00	1.00	match
arnold_press	Arnold Press	Arnold_Dumbbell_Press	Arnold Dumbbell Press	0.95	0.92	match
barbell_curl	Barbell Curl	Barbell_Curl	Barbell Curl	1.00	1.00	match
tricep_pushdown	Tricep Pushdown	Triceps_Pushdown	Triceps Pushdown	0.67	0.54	match
hammer_curl	Hammer Curl	Alternate_Hammer_Curl	Alternate Hammer Curl	0.94	0.92	match
skull_crusher	Skull Crusher	Decline_Close-Grip_Bench_To_Skull_Crusher	Decline Close-Grip Bench To Skull Crusher	0.85	0.79	match
squat	Barbell Squat	Barbell_Squat	Barbell Squat	1.00	1.00	match
rdl	Romanian Deadlift	Romanian_Deadlift	Romanian Deadlift	1.00	1.00	match
leg_press	Leg Press	Leg_Press	Leg Press	1.00	1.00	match
leg_curl	Leg Curl	Seated_Leg_Curl	Seated Leg Curl	0.94	0.92	match
calf_raise	Calf Raise	Seated_Calf_Raise	Seated Calf Raise	0.95	0.93	match
